subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,17,9, imagined,2,435,534,435.0,534.0,276.0,1.0,0.0,0.0,605.0,1.0,276.0,184.0,276.0,0.0,0.0,605.0,524.0,3.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,18,10, possible.,2,534,644,534.0,644.0,184.0,1.0,1.0,17.0,92.0,0.0,184.0,196.0,964.0,4.0,16.0,92.0,256.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,19,9, Suddenly,2,644,743,644.0,743.0,344.0,2.0,0.0,0.0,605.0,1.0,84.0,172.0,344.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,20,6, their,2,743,809,743.0,809.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,21,9, marriage,2,809,908,809.0,908.0,360.0,2.0,0.0,0.0,605.0,0.0,172.0,180.0,360.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,22,4, was,2,908,952,908.0,952.0,180.0,1.0,0.0,0.0,605.0,2.0,180.0,264.0,180.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,23,7, filled,2,952,1029,952.0,1040.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,24,4,with,3,215,259,204.0,259.0,264.0,1.0,0.0,0.0,605.0,3.0,264.0,112.0,264.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,25,5, more,3,259,314,259.0,314.0,112.0,1.0,0.0,0.0,605.0,2.0,112.0,180.0,112.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,26,10," laughter,",3,314,424,314.0,424.0,340.0,2.0,0.0,0.0,605.0,1.0,180.0,176.0,340.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,27,5, more,3,424,479,424.0,479.0,660.0,3.0,0.0,0.0,605.0,0.0,176.0,200.0,660.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,28,10," cuddling,",3,479,589,479.0,589.0,512.0,2.0,0.0,0.0,605.0,0.0,200.0,252.0,512.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,29,5, more,3,589,644,589.0,644.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,30,11, passionate,3,644,765,644.0,765.0,744.0,3.0,0.0,0.0,605.0,0.0,252.0,376.0,744.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,31,4, sex,3,765,809,765.0,809.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,32,5, more,3,809,864,809.0,864.0,1124.0,4.0,0.0,0.0,605.0,0.0,376.0,180.0,1124.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,33,7, often.,3,864,941,864.0,952.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,34,10,"Convinced,",4,215,325,204.0,325.0,712.0,3.0,0.0,0.0,605.0,4.0,180.0,216.0,712.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,35,5, they,4,325,380,325.0,380.0,216.0,1.0,0.0,0.0,605.0,1.0,216.0,248.0,216.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,36,7, became,4,380,457,380.0,457.0,248.0,1.0,0.0,0.0,605.0,1.0,248.0,224.0,248.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,37,6, loyal,4,457,523,457.0,523.0,224.0,1.0,0.0,0.0,605.0,1.0,224.0,288.0,224.0,0.0,0.0,605.0,108.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,38,11, customers.,4,523,644,523.0,644.0,288.0,1.0,1.0,37.0,233.0,1.0,288.0,108.0,684.0,2.0,36.0,233.0,288.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,39,4, One,4,644,688,644.0,688.0,376.0,1.0,0.0,0.0,605.0,1.0,376.0,372.0,376.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,40,5," day,",4,688,743,688.0,743.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,41,6, lying,4,743,809,743.0,809.0,372.0,1.0,0.0,0.0,605.0,0.0,372.0,180.0,372.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,42,3, in,4,809,842,809.0,842.0,180.0,1.0,0.0,0.0,605.0,0.0,180.0,168.0,180.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,43,5," bed,",4,842,897,842.0,897.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,44,6, their,4,897,963,897.0,974.0,168.0,1.0,0.0,0.0,605.0,0.0,168.0,168.0,168.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,45,9,seemingly,5,215,314,204.0,314.0,476.0,2.0,0.0,0.0,605.0,2.0,168.0,232.0,476.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,46,8, perfect,5,314,402,314.0,402.0,468.0,2.0,0.0,0.0,605.0,0.0,232.0,52.0,468.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,47,7, bodies,5,402,479,402.0,479.0,52.0,1.0,0.0,0.0,605.0,3.0,52.0,304.0,52.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,48,6, naked,5,479,545,479.0,545.0,304.0,1.0,0.0,0.0,605.0,0.0,304.0,512.0,304.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,49,4, and,5,545,589,545.0,589.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,50,6, spent,5,589,655,589.0,655.0,512.0,1.0,0.0,0.0,605.0,0.0,512.0,224.0,512.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,51,10," together,",5,655,765,655.0,765.0,224.0,1.0,0.0,0.0,605.0,1.0,224.0,252.0,224.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,52,4, the,5,765,809,765.0,809.0,252.0,1.0,0.0,0.0,605.0,0.0,252.0,76.0,252.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,53,5, wife,5,809,864,809.0,864.0,236.0,2.0,0.0,0.0,605.0,1.0,76.0,220.0,236.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,54,6," said,",5,864,930,864.0,930.0,220.0,1.0,0.0,0.0,605.0,5.0,220.0,264.0,220.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,55,5," ""Did",5,930,985,930.0,985.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,56,4, you,5,985,1029,985.0,1040.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,57,5,think,6,215,270,204.0,270.0,360.0,2.0,0.0,0.0,605.0,0.0,264.0,180.0,360.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,58,2, I,6,270,292,270.0,292.0,180.0,1.0,0.0,0.0,605.0,1.0,180.0,276.0,180.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,59,4, was,6,292,336,292.0,336.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,60,10, beautiful,6,336,446,336.0,446.0,276.0,1.0,0.0,0.0,605.0,2.0,276.0,300.0,276.0,0.0,0.0,605.0,188.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,61,9," before?""",6,446,545,446.0,545.0,300.0,1.0,1.0,60.0,364.0,0.0,300.0,188.0,700.0,2.0,59.0,364.0,212.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,62,4, The,6,545,589,545.0,589.0,184.0,1.0,0.0,0.0,605.0,2.0,184.0,164.0,184.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,63,8, husband,6,589,677,589.0,677.0,164.0,1.0,0.0,0.0,605.0,2.0,164.0,324.0,164.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,64,6," said,",6,677,743,677.0,743.0,324.0,1.0,0.0,0.0,605.0,0.0,324.0,292.0,324.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,65,4," ""Of",6,743,787,743.0,787.0,292.0,1.0,0.0,0.0,605.0,0.0,292.0,136.0,292.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,66,7, course,6,787,864,787.0,864.0,136.0,1.0,0.0,0.0,605.0,3.0,136.0,148.0,136.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,67,2, I,6,864,886,864.0,886.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,68,6," did.""",6,886,952,886.0,952.0,364.0,2.0,0.0,0.0,605.0,0.0,148.0,356.0,364.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,69,4, She,6,952,996,952.0,1007.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,70,8,"replied,",7,215,303,204.0,303.0,356.0,1.0,0.0,0.0,605.0,0.0,356.0,728.0,356.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,71,6," ""Then",7,303,369,303.0,369.0,728.0,1.0,0.0,0.0,605.0,2.0,728.0,300.0,728.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,72,6, let's,7,369,435,369.0,435.0,300.0,1.0,0.0,0.0,605.0,1.0,300.0,296.0,300.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,73,5, stop,7,435,490,435.0,490.0,296.0,1.0,0.0,0.0,605.0,1.0,296.0,340.0,296.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,74,7, taking,7,490,567,490.0,567.0,340.0,1.0,0.0,0.0,605.0,1.0,340.0,128.0,340.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,75,4, the,7,567,611,567.0,611.0,128.0,1.0,0.0,0.0,605.0,3.0,128.0,148.0,128.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,76,7, pills.,7,611,688,611.0,688.0,148.0,1.0,0.0,0.0,605.0,5.0,148.0,168.0,148.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,77,6, Let's,7,688,754,688.0,754.0,168.0,1.0,0.0,0.0,605.0,1.0,168.0,136.0,168.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,78,4, see,7,754,798,754.0,798.0,136.0,1.0,0.0,0.0,605.0,0.0,136.0,204.0,136.0,0.0,0.0,605.0,,
