subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,11,5, more,1,864,919,864.0,919.0,884.0,2.0,0.0,0.0,605.0,0.0,376.0,516.0,884.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,12,11, attractive,1,919,1040,919.0,1051.0,516.0,1.0,0.0,0.0,605.0,3.0,516.0,168.0,516.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,13,4,than,2,215,259,204.0,259.0,280.0,1.0,0.0,0.0,605.0,3.0,280.0,164.0,280.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,14,7, either,2,259,336,259.0,336.0,168.0,1.0,1.0,13.0,67.0,1.0,168.0,280.0,612.0,2.0,12.0,67.0,784.0,3.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,15,4, had,2,336,380,336.0,380.0,236.0,1.0,0.0,0.0,605.0,2.0,236.0,588.0,236.0,0.0,0.0,605.0,180.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,16,5, ever,2,380,435,380.0,435.0,1040.0,2.0,1.0,14.0,79.0,3.0,588.0,344.0,2204.0,4.0,13.0,79.0,364.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,17,9, imagined,2,435,534,435.0,534.0,276.0,1.0,0.0,0.0,605.0,4.0,276.0,184.0,276.0,0.0,0.0,605.0,196.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,18,10, possible.,2,534,644,534.0,644.0,184.0,1.0,1.0,17.0,96.0,4.0,184.0,196.0,704.0,3.0,16.0,96.0,324.0,2.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,19,9, Suddenly,2,644,743,644.0,743.0,332.0,2.0,0.0,0.0,605.0,3.0,252.0,256.0,332.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,20,6, their,2,743,809,743.0,809.0,256.0,1.0,0.0,0.0,605.0,4.0,256.0,176.0,256.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,21,9, marriage,2,809,908,809.0,908.0,176.0,1.0,0.0,0.0,605.0,6.0,176.0,188.0,176.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,22,4, was,2,908,952,908.0,952.0,188.0,1.0,0.0,0.0,605.0,3.0,188.0,184.0,188.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,23,7, filled,2,952,1029,952.0,1040.0,184.0,1.0,0.0,0.0,605.0,3.0,184.0,264.0,184.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,24,4,with,3,215,259,204.0,259.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,25,5, more,3,259,314,259.0,314.0,376.0,2.0,0.0,0.0,605.0,1.0,264.0,180.0,376.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,26,10," laughter,",3,314,424,314.0,424.0,180.0,1.0,0.0,0.0,605.0,4.0,180.0,160.0,180.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,27,5, more,3,424,479,424.0,479.0,336.0,2.0,0.0,0.0,605.0,0.0,160.0,304.0,336.0,0.0,0.0,605.0,176.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,28,10," cuddling,",3,479,589,479.0,589.0,304.0,1.0,1.0,27.0,161.0,4.0,304.0,176.0,680.0,2.0,26.0,161.0,200.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,29,5, more,3,589,644,589.0,644.0,312.0,1.0,0.0,0.0,605.0,3.0,312.0,248.0,312.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,30,11, passionate,3,644,765,644.0,765.0,508.0,2.0,0.0,0.0,605.0,5.0,248.0,232.0,508.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,31,4, sex,3,765,809,765.0,809.0,232.0,1.0,0.0,0.0,605.0,3.0,232.0,376.0,232.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,32,5, more,3,809,864,809.0,864.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,33,7, often.,3,864,941,864.0,952.0,1128.0,4.0,0.0,0.0,605.0,0.0,376.0,180.0,1128.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,34,10,"Convinced,",4,215,325,204.0,325.0,380.0,2.0,0.0,0.0,605.0,7.0,180.0,332.0,380.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,35,5, they,4,325,380,325.0,380.0,544.0,2.0,0.0,0.0,605.0,2.0,332.0,248.0,544.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,36,7, became,4,380,457,380.0,457.0,248.0,1.0,0.0,0.0,605.0,4.0,248.0,224.0,248.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,37,6, loyal,4,457,523,457.0,523.0,224.0,1.0,0.0,0.0,605.0,5.0,224.0,288.0,224.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,38,11, customers.,4,523,644,523.0,644.0,684.0,3.0,0.0,0.0,605.0,5.0,288.0,372.0,684.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,39,4, One,4,644,688,644.0,688.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,40,5," day,",4,688,743,688.0,743.0,372.0,1.0,0.0,0.0,605.0,2.0,372.0,372.0,372.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,41,6, lying,4,743,809,743.0,809.0,372.0,1.0,0.0,0.0,605.0,4.0,372.0,180.0,372.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,42,3, in,4,809,842,809.0,842.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,43,5," bed,",4,842,897,842.0,897.0,180.0,1.0,0.0,0.0,605.0,2.0,180.0,172.0,180.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,44,6, their,4,897,963,897.0,974.0,172.0,1.0,0.0,0.0,605.0,4.0,172.0,484.0,172.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,45,9,seemingly,5,215,314,204.0,314.0,484.0,1.0,0.0,0.0,605.0,4.0,484.0,224.0,484.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,46,8, perfect,5,314,402,314.0,402.0,224.0,1.0,0.0,0.0,605.0,4.0,224.0,296.0,224.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,47,7, bodies,5,402,479,402.0,479.0,296.0,1.0,0.0,0.0,605.0,5.0,296.0,304.0,296.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,48,6, naked,5,479,545,479.0,545.0,304.0,1.0,0.0,0.0,605.0,4.0,304.0,512.0,304.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,49,4, and,5,545,589,545.0,589.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,50,6, spent,5,589,655,589.0,655.0,512.0,1.0,0.0,0.0,605.0,5.0,512.0,220.0,512.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,51,10," together,",5,655,765,655.0,765.0,220.0,1.0,0.0,0.0,605.0,6.0,220.0,252.0,220.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,52,4, the,5,765,809,765.0,809.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,53,5, wife,5,809,864,809.0,864.0,252.0,1.0,0.0,0.0,605.0,1.0,252.0,76.0,252.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,54,6," said,",5,864,930,864.0,930.0,236.0,2.0,0.0,0.0,605.0,1.0,76.0,220.0,236.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,55,5," ""Did",5,930,985,930.0,985.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,56,4, you,5,985,1029,985.0,1040.0,220.0,1.0,0.0,0.0,605.0,0.0,220.0,264.0,220.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,57,5,think,6,215,270,204.0,270.0,264.0,1.0,0.0,0.0,605.0,4.0,264.0,92.0,264.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,58,2, I,6,270,292,270.0,292.0,92.0,1.0,0.0,0.0,605.0,1.0,92.0,180.0,92.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,59,4, was,6,292,336,292.0,336.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,60,10, beautiful,6,336,446,336.0,446.0,452.0,2.0,0.0,0.0,605.0,0.0,180.0,300.0,452.0,0.0,0.0,605.0,188.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,61,9," before?""",6,446,545,446.0,545.0,300.0,1.0,1.0,60.0,367.0,4.0,300.0,188.0,10164.0,41.0,59.0,367.0,208.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,62,4, The,6,545,589,545.0,589.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,63,8, husband,6,589,677,589.0,677.0,344.0,2.0,0.0,0.0,605.0,3.0,184.0,324.0,344.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,64,6," said,",6,677,743,677.0,743.0,324.0,1.0,0.0,0.0,605.0,5.0,324.0,292.0,324.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,65,4," ""Of",6,743,787,743.0,787.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,66,7, course,6,787,864,787.0,864.0,292.0,1.0,0.0,0.0,605.0,1.0,292.0,136.0,292.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,67,2, I,6,864,886,864.0,886.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,68,6," did.""",6,886,952,886.0,952.0,284.0,2.0,0.0,0.0,605.0,0.0,136.0,220.0,284.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,69,4, She,6,952,996,952.0,1007.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,70,8,"replied,",7,215,303,204.0,303.0,352.0,1.0,0.0,0.0,605.0,5.0,352.0,728.0,352.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,71,6," ""Then",7,303,369,303.0,369.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,72,6, let's,7,369,435,369.0,435.0,1028.0,2.0,0.0,0.0,605.0,0.0,728.0,296.0,1028.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,73,5, stop,7,435,490,435.0,490.0,296.0,1.0,0.0,0.0,605.0,4.0,296.0,340.0,296.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,74,7, taking,7,490,567,490.0,567.0,340.0,1.0,0.0,0.0,605.0,5.0,340.0,128.0,340.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,75,4, the,7,567,611,567.0,611.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,76,7, pills.,7,611,688,611.0,688.0,128.0,1.0,0.0,0.0,605.0,4.0,128.0,148.0,128.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,77,6, Let's,7,688,754,688.0,754.0,148.0,1.0,0.0,0.0,605.0,3.0,148.0,164.0,148.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,78,4, see,7,754,798,754.0,798.0,164.0,1.0,0.0,0.0,605.0,1.0,164.0,136.0,164.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,79,5, each,7,798,853,798.0,853.0,136.0,1.0,0.0,0.0,605.0,2.0,136.0,204.0,136.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,80,6, other,7,853,919,853.0,919.0,404.0,2.0,0.0,0.0,605.0,4.0,204.0,56.0,404.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,81,3, as,7,919,952,919.0,952.0,56.0,1.0,0.0,0.0,605.0,2.0,56.0,296.0,56.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,82,3, we,7,952,985,952.0,996.0,296.0,1.0,0.0,0.0,605.0,2.0,296.0,304.0,296.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,83,6,really,8,215,281,204.0,281.0,304.0,1.0,0.0,0.0,605.0,5.0,304.0,144.0,304.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,84,6," are.""",8,281,347,281.0,347.0,144.0,1.0,0.0,0.0,605.0,4.0,144.0,208.0,144.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,85,4, The,8,347,391,347.0,391.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,86,8, husband,8,391,479,391.0,479.0,368.0,2.0,0.0,0.0,605.0,1.0,208.0,240.0,368.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,87,7, looked,8,479,556,479.0,556.0,240.0,1.0,0.0,0.0,605.0,4.0,240.0,160.0,240.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,88,3, at,8,556,589,556.0,589.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,89,5," her,",8,589,644,589.0,644.0,160.0,1.0,0.0,0.0,605.0,2.0,160.0,284.0,160.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,90,8, radiant,8,644,732,644.0,732.0,284.0,1.0,0.0,0.0,605.0,5.0,284.0,336.0,284.0,0.0,0.0,605.0,232.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,91,7, beside,8,732,809,732.0,809.0,336.0,1.0,1.0,90.0,539.0,5.0,336.0,232.0,3156.0,11.0,89.0,539.0,424.0,1.0
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,92,4, him,8,809,853,809.0,853.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,93,4, and,8,853,897,853.0,897.0,296.0,1.0,0.0,0.0,605.0,2.0,296.0,304.0,296.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,94,6," said,",8,897,963,897.0,963.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,95,7," ""Maybe",8,963,1040,963.0,1051.0,460.0,2.0,0.0,0.0,605.0,0.0,304.0,160.0,460.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,96,9,"tomorrow,",9,215,314,204.0,314.0,288.0,2.0,0.0,0.0,605.0,3.0,160.0,324.0,288.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,97,6, dear.,9,314,380,314.0,380.0,324.0,1.0,0.0,0.0,605.0,4.0,324.0,364.0,324.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,98,6, Maybe,9,380,446,380.0,446.0,364.0,1.0,0.0,0.0,605.0,5.0,364.0,280.0,364.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,99,11," tomorrow.""",9,446,567,446.0,578.0,432.0,2.0,0.0,0.0,605.0,5.0,280.0,,432.0,0.0,0.0,605.0,,
