subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,tdur,blinks,eye,start,end,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk,line
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12559701.0,12559713.0,16.0,640.4,409.9,613.4,407.2,0.68,68.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12559937.0,12559949.0,16.0,612.4,420.4,574.1,416.6,0.96,96.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12560233.0,12560257.0,28.0,573.3,418.5,697.7,419.9,3.1,182.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12560457.0,12560477.0,24.0,702.1,426.5,807.7,424.4,2.63,201.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12560765.0,12560793.0,32.0,804.3,418.6,723.7,421.9,2.01,105.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12560965.0,12560969.0,8.0,727.7,423.4,718.3,423.9,0.23,52.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12561153.0,12561281.0,132.0,719.6,418.8,785.4,444.0,1.75,1098.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12561613.0,12561641.0,32.0,789.6,435.3,917.8,449.5,3.19,197.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12561917.0,12562065.0,152.0,902.4,450.1,923.6,432.0,0.69,1774.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12562293.0,12562297.0,8.0,923.4,428.6,931.2,428.6,0.19,37.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12562597.0,12562605.0,12.0,928.9,428.2,953.9,427.4,0.61,76.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12562833.0,12562837.0,8.0,964.8,430.7,975.1,431.9,0.25,50.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12563169.0,12563225.0,60.0,977.0,425.4,303.7,460.8,16.47,430.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12563333.0,12563349.0,20.0,311.9,463.9,252.2,473.1,1.47,128.0,6_7
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12563605.0,12563625.0,24.0,256.3,469.0,342.7,465.1,2.11,163.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12563825.0,12563841.0,20.0,350.4,465.5,404.6,461.4,1.34,131.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12564177.0,12564197.0,24.0,402.4,475.4,512.4,479.2,2.72,206.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12564381.0,12564401.0,24.0,532.5,481.8,627.5,481.2,2.37,186.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12564565.0,12564581.0,20.0,633.2,483.7,584.1,479.8,1.23,106.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12564749.0,12564765.0,20.0,588.3,477.6,529.5,473.5,1.47,127.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12564989.0,12565021.0,36.0,523.7,479.0,678.1,484.0,3.84,228.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12565377.0,12565397.0,24.0,667.3,486.3,725.2,489.3,1.44,151.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12565633.0,12565641.0,12.0,712.0,488.6,686.3,483.5,0.65,81.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12565749.0,12565893.0,148.0,690.3,491.8,706.1,473.2,0.61,1004.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12566113.0,12566125.0,16.0,721.9,477.4,762.0,481.6,1.0,98.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12566581.0,12566589.0,12.0,762.7,477.8,737.9,478.1,0.62,77.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12566733.0,12566757.0,28.0,729.9,478.3,865.8,485.0,3.37,198.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12567097.0,12567109.0,16.0,865.0,490.1,827.2,488.3,0.93,87.0,0.0
